question,answer,source_jurisdiction,source_citation,source_text
"In the case of Nasr v NRMA Insurance [2006] NSWSC 1018, why was the plaintiff's appeal lodged out of time?","In Nasr v NRMA Insurance [2006] NSWSC 1018, the plaintiff's appeal was lodged out of time because the summons was filed on 8 June 2006, seven months after the decision of the Local Court was made on 4 October 2005. No explanation was provided for this delay.",new_south_wales,Nasr v NRMA Insurance [2006] NSWSC 1018," 3 The plaintiff claims that he was overseas when the Local Court struck out his case against the NRMA and they (the NRMA) rejected payment of his claim for his car after it was burnt on 6 July 2004. There are no grounds of appeal in his summons but it may be that he could have submitted that he was denied procedural fairness or natural justice. 4 This appeal has been lodged out of time. The decision of the Local Court was made on 4 October 2005. The summons was filed on 8 June 2006, some seven months out of time. No explanation has been provided for this delay. In these circumstances this Court cannot grant an extension of time in which to lodge this appeal. The Local Court proceedings 5 The Local Court file was not before this Court. There are four letters from the Local Court in evidence. The statement of claim is not before this Court. However, it seems that Mr Nasr sued the NRMA because it denied to pay a claim he made pursuant to his motor vehicle insurance policy and he was seeking damages. Doing the best I can, it appears that Mr Nasr sought and was granted a number of adjournments while he was overseas in China. "
"In the case of R v NGUYEN [2001] NSWCCA 334, what was the relationship between the Appellant and Mr Nguyen, and what activities of Mr Nguyen did the Appellant testify about?","In the case of R v NGUYEN [2001] NSWCCA 334, the Appellant testified that Mr Nguyen was her cousin and that she had allowed him to live in her flat for about 4 or 5 days. She stated that she had heard that Mr Nguyen was selling heroin and that she had seen him hand over a small foil to a third person, an event that made her feel surprised, upset, and angry. Despite her protests, Mr Nguyen allegedly continued to sell heroin from the flat. The Appellant also mentioned seeing other customers in the flat and a friend of Mr Nguyen's cutting foil in the lounge-room. Despite her complaints to her boyfriend and an aunt, she took no further steps to prevent these activities, citing reasons such as their close familial relationship and her reluctance to involve the police.",new_south_wales,R v NGUYEN [2001] NSWCCA 334," 29 The Appellant also gave evidence that she had permitted Mr Nguyen to live in the flat for about 4 or 5 days before the 6th November, because he was her cousin and had nowhere else at that time to live. According to the Appellant, he and sometimes his girlfriend occupied the second bedroom and some others who moved in at the same time slept in the lounge-room. The Appellant said that before Mr Nguyen moved in she had heard that he was selling heroin. On the first day he was with her she saw him hand over a small foil to a third person, an event she said which made her feel, “surprised, upset and angry”. She protested at the event and told Mr Nguyen that if he continued to do that he would have to move out. Nevertheless, according to the Appellant, Mr Nguyen continued to sell heroin and she argued with him nearly every day. Asked how many times she saw other customers in the flat, the Appellant said “Once, twice or three times, I’m not so sure” and “maybe one customer or two customers a day”. A friend of Mr Nguyen’s also cut foil in the lounge-room. 30 According to the Appellant, she complained about Mr Nguyen’s activities to her boyfriend and an aunt, but she took no further steps to prevent those activities. She gave a variety of reasons for this. They included:- He was her eldest cousin and they had been very close. He told her that she should not contact the police. She didn’t want him to go to gaol because he was family and they “were like brothers and sisters”. "
"In the case of Moore v Scenic Tours Pty Ltd [2015] NSWSC 237, what was the court's decision regarding the motion to restrain a firm from acting?","In the case of Moore v Scenic Tours Pty Ltd [2015] NSWSC 237, the court decided to dismiss the motion to restrain a firm from acting. The court found that the plaintiff was entitled to a solicitor of their choice and it was not in the interest of justice to deprive the plaintiff of their choice of solicitor.",new_south_wales,Moore v Scenic Tours Pty Ltd [2015] NSWSC 237,Medium Neutral Citation: Moore v Scenic Tours Pty Ltd [2015] NSWSC 237 Hearing dates: 27 February 2015 Date of orders: 20 March 2015 Decision date: 20 March 2015 Jurisdiction: Common Law Before: Garling J Decision: (a)Amended Notice of Motion dated 20 February 2015 is dismissed. (b)Defendant to pay the plaintiff’s costs. Catchwords: PRACTICE AND PROCEDURE – civil – representative proceedings – whether court should exercise jurisdiction to restrain a firm from acting – ultimate controller and majority owner of firm representing plaintiff falls within group members in proceedings – son of ultimate controller of firm is sole director of litigation funder – whether arrangement designed to circumvent prohibition on contingency fees – litigation funder company of limited capital – whether litigation funder has sufficient capital to meet adverse costs order – plaintiff consents to firm continuing to act – plaintiff entitled to a solicitor of their choice – not in interest of justice to deprive plaintiff of their choice of solicitor – motion to restrain firm from acting dismissed Legislation Cited: Civil Procedure Act 2005 Corporations Regulation 2001 Family Law Act 1975 (Cth) Legal Profession Act 2004 
What were the circumstances and outcomes of the case Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168 in New South Wales?,"In the case of Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168, the defendants were charged under the Occupational Health and Safety Act 2000 for a serious breach of safety. The incident involved a worker who was injured while cutting an orange conduit that was assumed to hold no energised cable or services, but in fact held an 11,000 volt electric cable. The work was not performed in accordance with the company's documented safety system and the risk was foreseeable. Both the company and the contracted supervisor pleaded guilty. The company had a prior record, while the supervisor did not. The company showed contrition, entered an early plea, and took numerous remedial steps after the accident. The supervisor changed his original plea, but the circumstances warranted a significant discount. Penalties were imposed considering the company's good industrial record, good corporate citizenship, and co-operation with the WorkCover Authority.",new_south_wales,Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168," CITATION: Inspector Phillip Estreich v Hannas Civil Engineering Pty Ltd and Afram Hanna [2009] NSWIRComm 168 Inspector Phillip Estreich (Prosecutor) PARTIES: Hannas Civil Engineering Pty Ltd (Defendant in IRC 2009/179) Afram Hanna (Defendant in 2009/206) FILE NUMBER(S): IRC 179 and 206 of 2009 CORAM: Haylen J CATCHWORDS: OCCUPATIONAL HEALTH AND SAFETY ACT 2000 - s 8(2), s 10(1) - pleas of guilty - company and contracted supervisor - orange conduit exposed - conduit assumed to hold no energised cable or services - one cable holds 11,000 volt electric cable - worker injured whilst cutting conduit - serious injuries received - work not performed in accordance with company's documented safety system - simple steps laid down to ascertain whether services in area - risk foreseeable - serious breach - general and specific deterrence - subjective factors considered - company had prior record - supervisor had no prior record - contrition - company enters early plea - supervisor changes original plea but circumstances warrant significant discount - good industrial record and good corporate citizenship established - co-operation with WorkCover Authority - numerous remedial steps taken after accident - s 6 Fines Act consideration - penalties imposed "
"In the case of Ruddock v Vadarlis [2001] FCA 1329, what was the argument of the Commonwealth regarding the application of habeas corpus and how was it received?","In Ruddock v Vadarlis [2001] FCA 1329, the Commonwealth argued that habeas corpus did not apply as the rescuees were not detained. They contended that for a detention to occur, the detainer must subject the detainee to a total restraint of movement, and that partial restraint or obstruction from going in a particular direction does not constitute detention. They further argued that the rescuees were only prevented from going to their preferred destination and were free to go elsewhere, thus not constituting detention. However, this argument was not accepted by the court, which disagreed with the suggestion that a ""total restraint of movement"" is necessary to constitute detention amenable to habeas corpus.",commonwealth,Ruddock v Vadarlis [2001] FCA 1329," 206 It was submitted for the Commonwealth that habeas corpus did not lie as the rescuees were not detained. For a detention to take place the detainer must subject the detainee to a total restraint of movement. Partial restraint was to be distinguished from detention. To obstruct a person from going in a particular direction, it was argued, does not constitute detention. The rescuees were only prevented from going to their preferred destination. That limited restriction, it was submitted, did not constitute detention given that they were free to proceed to any other destination. It was contended for VCCL and Vadarlis that ""close custody"" is not necessary to attract the remedy of habeas corpus. In the alternative it was submitted that North J was correct to conclude, as a matter of fact, that the restraint upon the rescuees was total. I do not accept the argument for the Commonwealth insofar as it may be taken to suggest that a ""total restraint of movement"" is necessary to constitute detention amenable to habeas corpus."
When did the Poisons List Amendment Order 2012 come into effect in Tasmania?,"The Poisons List Amendment Order 2012 in Tasmania took effect on the day its making was notified in the Gazette, which was on 9 May 2012.",tasmania,Poisons List Amendment Order 2012 (Tas),"Poisons List Amendment Order 2012 I make the following order under section 15(1) of the Poisons Act 1971 . 2 May 2012 MICHELLE O'BYRNE Minister for Health 1. Short title This order may be cited as the Poisons List Amendment Order 2012 . 2. Commencement This order takes effect on the day on which its making is notified in the Gazette. 3. Principal Order In this order, the Poisons List Order 2001 is referred to as the Principal Order. 4. The amendments effected by this clause have been incorporated into the authorised version of the Poisons List Order 2001 . 5. The amendments effected by this clause have been incorporated into the authorised version of the Poisons List Order 2001 . 6. The amendments effected by this clause have been incorporated into the authorised version of the Poisons List Order 2001 . 7. The amendments effected by this clause have been incorporated into the authorised version of the Poisons List Order 2001 . 8. The amendments effected by this clause have been incorporated into the authorised version of the Poisons List Order 2001 . Displayed and numbered in accordance with the Rules Publication Act 1953. Notified in the Gazette on 9 May 2012 This order is administered in the Department of Health and Human Services. "
Who were the defendants in the case Australian Securities and Investments Commission v Letten (No 24) [2014] FCA 1322?,"In the case Australian Securities and Investments Commission v Letten (No 24) [2014] FCA 1322, the defendants included SIMMS INVESTMENTS PTY LTD, SY21 RETAIL PTY LTD, THE GLEN CENTRE HAWTHORN PTY LTD, CASTELLO HOLDINGS PTY LTD, TWINVIEW NOMINEES PTY LTD, YARRA VALLEY GOLF PTY LTD, ADINA RISE PTY LTD, ALBRIGHT INVESTMENTS PTY LTD, ASHFIELD RISE PTY LTD, BRADFIELD CORPORATION PTY LTD, COPELAND ENTERPRISES PTY LTD, DEVLIN WAY PTY LTD, FIRST HAZELWOOD PTY LTD, GLENBELLE PTY LTD, GLENVALE WAY PTY LTD, GREENVIEW LANE PTY LTD, among others.",commonwealth,Australian Securities and Investments Commission v Letten (No 24) [2014] FCA 1322,SIMMS INVESTMENTS PTY LTD (ACN 093 504 511) Sixteenth Defendant SY21 RETAIL PTY LTD (ACN 107 874 564) Seventeenth Defendant THE GLEN CENTRE HAWTHORN PTY LTD (ACN 089 906 543) Eighteenth Defendant CASTELLO HOLDINGS PTY LTD (ACN 088 204 175) Nineteenth Defendant TWINVIEW NOMINEES PTY LTD (ACN 097 307 278) Twentieth Defendant YARRA VALLEY GOLF PTY LTD (ACN 066 632 479) Twenty-First Defendant ADINA RISE PTY LTD (ACN 083 181 122) Twenty-Second Defendant ALBRIGHT INVESTMENTS PTY LTD (ACN 088 204 166) Twenty-Third Defendant ASHFIELD RISE PTY LTD (ACN 093 504 806) Twenty-Fourth Defendant BRADFIELD CORPORATION PTY LTD (ACN 088 204 371) Twenty-Fifth Defendant COPELAND ENTERPRISES PTY LTD (ACN 093 504 824) Twenty-Sixth Defendant DEVLIN WAY PTY LTD (ACN 088 264 813) Twenty-Seventh Defendant FIRST HAZELWOOD PTY LTD (ACN 093 505 303) Twenty-Eighth Defendant GLENBELLE PTY LTD (ACN 097 306 646) Twenty-Ninth Defendant GLENVALE WAY PTY LTD (ACN 088 287 021) Thirtieth Defendant GREENVIEW LANE PTY LTD (ACN 093 505 312) Thirty-First Defendant
What changes were made in the amendment AD/BAe 146/104 Amdt 1 to the British Aerospace BAe 146 Series Aeroplanes Airworthiness Directive?,"The amendment AD/BAe 146/104 Amdt 1 to the British Aerospace BAe 146 Series Aeroplanes Airworthiness Directive, as notified in the Commonwealth of Australia Gazette on 3 November 2004, made changes to Note 1 and the Compliance Statement to clarify that any one of the listed modifications terminates the repetitive inspection of each cable in-line splices.",commonwealth,AD/BAe 146/104 Amdt 1 - APU and IDG In-Line Splices (Cth), British Aerospace BAe 146 Series Aeroplanes AD/BAe 146/104 Amdt 1 (continued) This Amendment changes Note 1 and the Compliance Statement to ensure that it is clear that any one of the listed modifications terminates the repetitive inspection of each cable in-line splices. The original issue of this Airworthiness Directive became effective on 12 June 2003. James Coyne Delegate of the Civil Aviation Safety Authority 15 October 2004 The above AD is notified in the Commonwealth of Australia Gazette on 3 November 2004.
What is the landlord's general obligation under section 63 of the Act in the case of Anderson v Armitage [2014] NSWCATCD 157 in New South Wales?,"In the case of Anderson v Armitage [2014] NSWCATCD 157, under section 63 of the Act, a landlord in New South Wales is obligated to provide and maintain the residential premises in a reasonable state of repair, considering the age of, rent payable for, and prospective life of the premises. This obligation applies even if the tenant had notice of the state of disrepair before occupying the residential premises. However, the landlord is not in breach of this obligation if the state of disrepair is caused by the tenant's breach of this Part. This section is a term of every residential tenancy agreement.",new_south_wales,Anderson v Armitage [2014] NSWCATCD 157,"reasons for decision 1The applicant leased premises from the respondent. The fixed term of the residential tenancy agreement was for 52 weeks commencing on 14 October 2013 and concluding on 13 October 2014. The rent is $2,900.00 per fortnight. 2By an application filed on 10 April 2014, the tenant seeks an order, pursuant to section 187(1)(c) and (d) of the Act, for the payment of $14,800.00. 3Section 187 of the Act sets out the powers of the Tribunal and catalogues the orders that the Tribunal may make. The section does not give rise to any cause of action. 4During the hearing, it became obvious that the tenant relies on section 63 of the Act which reads - 63 Landlord's general obligation (1) A landlord must provide and maintain the residential premises in a reasonable state of repair, having regard to the age of, rent payable for and prospective life of the premises. (2) A landlord's obligation to provide and maintain the residential premises in a reasonable state of repair applies even though the tenant had notice of the state of disrepair before entering into occupation of the residential premises. (3) A landlord is not in breach of the obligation to provide and maintain the residential premises in a reasonable state of repair if the state of disrepair is caused by the tenant's breach of this Part. (4) This section is a term of every residential tenancy agreement."
What were the two certifications contained in the Certificate in the case of Pauga v Samoa [2022] FCA 1097?,"In the case of Pauga v Samoa [2022] FCA 1097, the Certificate contained two certifications. The first certification was a statement certifying that the documents attached to the certificate, which were submitted in support of the extradition request from Samoa to the Commonwealth of Australia for Talalelei Pauga, are those that are submitted to support the extradition request. The second certification was a statement that the seal affixed to the certificate is the official seal of the Supreme Court of Samoa and authenticates all of the documents attached to the certificate.",commonwealth,Pauga v Samoa [2022] FCA 1097,"7 The Certificate contains two certifications. First, a certification that the documents attached to the certificate (namely the documents comprising the Bundle) - which are then described - 'are submitted in support of the request from Samoa to the Commonwealth of Australia for the extradition of Talalelei Pauga'. It is a statement certifying that the 'documents attached' are those that are submitted to support the extradition request (First Certification). 8 Second, there is a certification that 'the seal affixed to this certificate is the official seal of the Supreme Court of Samoa and authenticates all of the documents attached to this certificate' (Second Certification). By this separate Second Certification, the seal of the Supreme Court of Samoa (being the only seal affixed to the Certificate itself) is applied to authenticate all of the documents attached to the certificate (namely the documents comprising the Bundle). 9 After the two certifications, there is the following declaratory statement as to the manner in which the certification was being effected (Declaration). It says: Given under my hand and the official seal of the Supreme Court of Samoa affixed to this certificate and the ribbon binding all of the attached documents. 10 Underneath the Declaration is the seal of the Supreme Court of Samoa and the signature of Ms Simi-Vaai as Registrar. 11 The contentions advanced for Mr Pauga on the final hearing of the statutory review application in this Court all concerned whether the documents in the Bundle had been 'duly authenticated' for the purposes of s 19. Various other points were not pressed. 12 In the result, there were seven contentions advanced. They were as follows:"
